,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,FC Schalke 04,S04 Boris,1,1,SUPPORT,2179,0.5,3,6.5,2.333333333,21055.5,6129,5353.5,9572,3936.5,3418.5,517.5,0,3354,5,30757,836.5,186,74,23.5,19188,7111.5,10985.5,1090,9719.5,8287.5,0,0,92.5,0,0,0,497,13,13.5,0,51,11,0,0,0,0,0.5,3.6,2.45,276.1,256.5,265.55,173.05,399.6,313.55
2,FC Schalke 04,S04 Nukeduck,7,11,MID,2261.888889,2.777777778,1.555555556,3.722222222,4.178571429,276217.3333,224901.3889,16614.11111,34701.16667,22592.77778,21562.22222,680.6111111,349.1666667,3411.055556,1.333333333,11486.61111,10246.16667,3335,41.77777778,15.38888889,13939.5,6604.388889,6998.833333,335.5555556,15043.33333,14349.61111,1.055555556,0.388888889,342.1111111,19.77777778,16.83333333,2,545.6666667,17.16666667,7,0,18.94444444,10,0.111111111,0,0.055555556,0.166666667,0.222222222,10.62777778,8.961111111,557.4944444,487.9055556,406.7777778,301.0444444,285.5888889,193.7277778
3,FC Schalke 04,S04 Pride,7,11,JUNGLE,2261.888889,1.277777778,1.277777778,5.166666667,5.043478261,161785.4444,50518.33333,97322.16667,13944.27778,7722.944444,2641.611111,4580.777778,499.7777778,15466.72222,2.555555556,29449.88889,13909.22222,1370.888889,104.8333333,18.55555556,32147.55556,10654.11111,20596.05556,896.5555556,11682.55556,10997.22222,0.5,0.055555556,38.88888889,150.8888889,102.7777778,10.5,715.2777778,15.33333333,11.38888889,0,54.05555556,18.16666667,0.333333333,0.055555556,0.111111111,0.055555556,0.222222222,0.988888889,0.211111111,406.3333333,358.9888889,325.1555556,271.1,734.6666667,675.4277778
4,FC Schalke 04,S04 Upset,6,10,BOTCARRY,2272.25,3.5625,1.625,3.4375,4.307692308,296261.8125,84400.3125,205134.125,6726.5625,25472.4375,6510.375,17790.9375,1170.5,4229.4375,3.25,12295,16015,6499,62.875,14.0625,13123.875,6149.375,6750.4375,223.25,16806.4375,15538.5,2,0.125,381.125,30.8125,20.5625,3.625,506.0625,16.0625,3.5,0,18.125,20,0.0625,0.125,0.0625,0,0.25,11.00625,8.73125,430.3625,323.575,411.28125,296.05625,235.81875,206.825
5,FC Schalke 04,S04 Vander,1,1,BOTCARRY,2179,2.5,2,5,3.75,218323,71800,139327,7195.5,15878,5236.5,10382.5,259,4195,5,12296,11226.5,4047.5,46.5,19.5,8154.5,3395.5,4451,306.5,14676,12975,0.5,0.5,321.5,11.5,11.5,0,409.5,16,2,0,13.5,19,0,0,0,0.5,0,8.85,7.1,376.2,296.95,365.15,262.15,254.75,196.1
6,FC Schalke 04,S04 Vander,6,10,SUPPORT,2272.25,0.1875,2.3125,6.375,2.837837838,90525.5,9940.4375,8326.1875,72257.875,3984.375,3390.5,376.3125,216.875,5705.5,4.9375,20257.4375,1884.375,797.1875,84.375,20.3125,16067.5,7847.4375,7348.875,870.0625,9227.4375,8483.125,0.4375,0,59.75,0,0,0,212.125,13.9375,16.3125,0,57.875,10.0625,0,0.0625,0.125,0,0.3125,2.06875,1.28125,297.89375,267.225,229.76875,159.55625,327.8125,215.8375
7,FC Schalke 04,S04 Vizicsacsi,7,11,TOP,2261.888889,1.388888889,2.333333333,3.777777778,2.214285714,249370.9444,62407.66667,131973.8889,54988.61111,14803.61111,6802,6720.777778,1280.111111,8503.333333,1,39130.44444,6513.666667,3532.277778,47.16666667,46.83333333,31977.77778,12022,18577.83333,1377.222222,14148.94444,13560.11111,0.888888889,0.166666667,316.5,7.5,2.5,1.722222222,981.6111111,16.83333333,6.555555556,0,23.5,7.888888889,0,0.111111111,0.055555556,0.055555556,0.222222222,10.11666667,8.772222222,530.2333333,456.4388889,389.6944444,289.4222222,619.1388889,413.3111111
8,Fnatic,FNC Broxah,14,4,JUNGLE,2396.944444,1.111111111,1.333333333,7.555555556,6.5,159723.3333,47679.22222,92533.16667,19509.77778,5928.333333,1717.555556,3919.611111,290.4444444,12819.44444,1.944444444,31458.72222,12910.16667,1225.444444,106.7777778,15.33333333,28824.61111,9827.944444,18165.05556,830.8888889,12670.77778,11470,0.277777778,0.111111111,30.38888889,157.3333333,102.9444444,11.61111111,685.6666667,16.22222222,12.88888889,0,56.22222222,15.33333333,0.222222222,0,0.277777778,0,0.722222222,0.7,0.288888889,427.0944444,346.2111111,332.1055556,271.3944444,614.2333333,614.4277778
9,Fnatic,FNC Bwipo,2,0,TOP,1921,3,1,6,9,347855,155049,39883.5,152921.5,19432.5,15822,3472.5,137.5,6650.5,1,21418.5,7682.5,2681.5,37,42,17650.5,6983.5,10387,279.5,13839.5,12587.5,3,0.5,292.5,15.5,7.5,2,1239.5,17,7.5,0,20.5,3,0.5,0.5,0.5,0.5,0,9.8,7.8,560.95,453.6,399.25,293.7,254.45,317.65
10,Fnatic,FNC Caps,14,4,MID,2396.944444,3.5,1.833333333,4.333333333,4.272727273,353679.4444,280155.1667,25926,47597.22222,27815.44444,25338.33333,1788.777778,687.7222222,4937.777778,1.444444444,16203.61111,18276.05556,6446.111111,44.05555556,17,19634,9402.888889,9797.555556,432.8333333,17435.83333,15537.05556,2,0.666666667,364.6666667,37.88888889,27.83333333,8.333333333,337.2777778,17.61111111,4.166666667,0,18.16666667,12,0.055555556,0.055555556,0.222222222,0.277777778,0.388888889,10.72777778,8.433333333,580.0222222,469.4666667,433.5833333,295.55,415.6944444,300.1055556
11,Fnatic,FNC Hylissang,14,4,SUPPORT,2396.944444,0.611111111,2.333333333,8,3.69047619,88091.61111,10644.83333,8083.777778,69362.05556,5450.5,4254.222222,732.6666667,463,6281.888889,5.166666667,20729.94444,3145.111111,1512.888889,95.16666667,28.38888889,17161.77778,7540.722222,9108.777778,511.3888889,10563.27778,9273.611111,0.5,0,54.27777778,0.611111111,0.111111111,0.055555556,199.6111111,14.88888889,21.61111111,0,60,10.44444444,0.111111111,0.166666667,0.277777778,0,0.555555556,1.772222222,1.277777778,304.6333333,282.4055556,249.9055556,174.7944444,340.1,226.4444444
